id,title,1_syllable,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables,9_syllables,10_syllables,letter
54,abbas,"aase, blas, bos, bosse, clos, costs, crosse, dazs, floss, foss, fosse, gosse, grosse, haas, haase, haass, hahs, hasse, hoss, klaas, klos, kos, las, maass, mohs, os, pos, ross, ross', rosse, vohs, vos, vyas","abbas, alsace, demoss, devoss, hamas, hamas', hammas, hammas', kiryas, kjos, lacoss, lafosse, tomas, vanoss","semigloss
",,,,,,,,1
55,abbasi,,"cossey, dosie, dossey, fossey, losey, masi, mosie, mossey, posse, quasi, stasi","abbasi, benassi, biasi, byassee, cacaci, degrasse, delrossi, demasi, diblasi, dimasi, distasi, galassi, gerbasi, gervasi, lacasse, lagasse, nastasi, terrasi, tomasi, tomassi, umlasi","anastasi, cortopassi, debiase, dibiase, eminase, lambiase
",,,,,,,1
56,abbatiello,,"bello, bellow, belo, cello, celo, delo, fellow, jello, kellow, mello, mellow, melo, pellow, quello, stello, strehlow, strelow, tello, velo, yellow","agnello, aiello, anello, angello, arguello, augello, barcelo, bilello, bonello, borello, borrello, botelho, botello, buentello, cabello, caldrello, canelo, capello, cappello, cardello, carello, carmelo, castello, castelo, chipello, coelho, coello, colello, condello, corbello, corsello, costello, covello, crivello, cuello, curbelo, deangelo, debello, demello, demelo, dibello, dicello, dilello, gamello, jagiello, lobello, lorello, maiello, marcello, marcelo, martello, modelo, mondello, mongiello, montello, morello, novello, otello, othello, pirrello, pisello, porcello, ravelo, rebello, rebelo, revello, robello, robelo, rosello, scarpello, servello, sorbello, sotello, sotelo, spinello, stangelo, tirello, torello, trapelo, vitello","azzarello, botshabelo, cappiello, carabello, carangelo, caravello, cariello, chiarello, ciccarello, ciriello, civitello, colangelo, coviello, daniello, darcangelo, diangelo, fariello, filippello, fiorello, fratangelo, funicello, iannello, manganello, marinello, masiello, mastrangelo, mauriello, militello, montebello, monticello, muscarello, nardiello, parrinello, pasquarello, perriello, pietrangelo, pirandello, piscitello, riviello, romanello, ruggirello, santangelo, tamburello, tomasello, torsiello, tortorello, tuminello, tumminello, vitiello, zamarello","abbatiello, cartusciello, giovanniello, ianniello, manganiello, minichiello, pasquariello, picariello, romaniello, santaniello, tortoriello
",,,,,,1
57,abbe,"a, a., ae, ay, bay, baye, bayh, bey, blay, bley, brae, bray, brey, c'est, cay, che, clay, cray, dae, day, daye, de, dey, dray, drey, fay, faye, fe, fey, flay, fray, frey, gay, gaye, gray, graye, grey, guay, gway, haigh, hay, haye, hey, hwe, j, j., jae, jay, jaye, k, k., kay, kaye, khe, klay, kley, kray, krey, lait, lay, laye, lei, ley, leyh, mae, may, maye, mei, mey, nay, ne, neigh, nej, ney, pay, paye, pei, play, pray, prey, quai, quay, quaye, rae, ray, raye, re, reay, rey, say, saye, schey, schley, se, seay, shay, shea, slay, sleigh, smay, snay, spey, spray, stay, stray, strey, sway, sze, tae, tay, they, tray, trey, vey, way, waye, wei, weigh, wey, whey, wray, wy, yay, yea","abbe, abbey, abbie, abby, abie, cabbie, cabby, crabby, flabby, gabby, gabie, gaby, kabi, mabee, mabie, shabby, tabby, abbe, aday, aggrey, aigner, allais, allay, anway, array, asay, astray, away, b'nai, b-j, ballet, banpais, beauvais, belay, beret, bernay, betray, bombay, boulais, boulay, bouquet, buffet, ca, cache, cafe, calais, callais, calvey, carre, cathay, chalet, ciskei, cliche, coday, convey, crochet, croquet, d'orsay, da, decay, defray, dekay, delay, delray, devey, dismay, display, dk, donais, dorais, dossier, dovey, dumais, dupay, ek, essay, filet, fillet, francais, ga, galle, gerais, gervais, ha, halfway, hefei, hervey, hevey, hongwei, hooray, hurray, ilhae, imlay, jaquay, jose, jouret, kamei, langlais, levey, lurvey, mackay, maclay, macrae, maltais, manet, marais, marquai, mcbay, mccay, mcclay, mccrae, mccray, mccrea, mcgray, mckay, mclay, mcnay, mcquay, mcrae, mcray, mcshea, mcstay, mcvay, mcveigh, mcvey, millay, mobay, monet, morais, moray, moutray, mulvey, nihei, nikkei, nisei, nissei, o'dea, o'shea, obey, oj, ok, okay, olay, ole, orsay, palais, parquet, passe, per-se, pevey, porcher, portray, prepay, puree, purvey, rene, renee, repay, replay, resnais, risque, saute, sergei, servais, sevey, shinsei, sinay, sochet, soiree, sorbet, souffle, stupay, survey, today, toray, torme, toupee, turvey, vadnais, valet, voisey, wah-pei, zalay","arabie, mcabee, aaa, aka, antigay, attache, bouvier, bta, bua, cabaret, cabernet, cea, chevrolet, dak, deseret, disarray, disobey, dunlavey, ekk, faberge, fiance, intraday, ira, ita, jna, jonbenet, kkk, la-carre, lyonnais, mcgarvey, meservey, monterey, monterrey, overplay, overstay, perrier, piaget, pinochet, redisplay, santa-fe, sta, touvier, underplay, underway, usa, uva","asea, buga, cabriolet, ceta, cluj, communique, compusa, foia, hiaa, l'espalier, naivete, noaa, societe, yakutakay, zepa",,"waga
",,,,,1
58,abbett,"bet, bett, bret, brett, chet, debt, et, fett, fette, flett, fret, frett, get, goette, hett, jet, jett, jette, jfet, kett, klett, let, lett, met, mette, net, nett, nyet, pet, pett, piet, plett, pret, ret, rhett, set, sette, smet, stet, sweat, swett, tet, tete, threat, vet, vette, wet, whet, yet, yett","abbett, abet, anette, annett, annette, anstett, arlette, arnett, arnette, arquette, audet, audette, babette, barbette, barnett, barnette, barrette, baskette, bassette, beaudet, beaudette, beget, bennette, bequette, berlet, bernet, beset, bessette, binette, bissette, blanchette, bonnette, boulet, boulette, bourget, bourret, bousquet, boyette, bramlette, bresette, bressette, brevet, brissette, brossette, brouillet, brouillette, brunet, brunette, brusett, brusette, bruyette, burchette, burdette, burnett, burnette, cadet, cartrette, cassette, chalmette, charette, chelette, chenette, chevette, chevrette, choquette, clarette, claudet, claudette, clavette, colette, collette, corette, cornet, cornette, corvette, cosette, cossette, diskette, dorette, doucet, doucette, duet, duquette, durette, ellette, faucette, fayette, fisette, fleurette, follette, forget, forgette, fournet, fradette, frechette, fredette, frenette, furlett, garnette, garrette, gaudet, gaudette, gazette, gelette, georgette, gillette, godette, goulet, goulette, goyette, gravette, guenette, guerette, guerrette, guillet, guillette, guilmette, gullette, guyett, guyette, gwinnett, hachette, hugette, hughette, hulette, idette, inglett, irette, irvette, janette, jeanerette, jeanette, jeannette, jennette, jenrette, joette, jolette, josette, jouret, junette, laurette, lavette, legette, leggette, lerette, linette, lirette, lisette, lorette, louisette, lovette, lucette, luquette, lurette, lynette, maillet, majette, mallette, manette, marette, margette, marlette, marquette, marzette, mcnett, midgette, midyett, midyette, millette, minette, monette, myette, nanette, nellette, ninette, niquette, nolette, nonjet, octet, odette, offset, ornette, ouimet, ouimette, ovett, pagette, paquette, parlette, paulette, payette, pichette, pierette, pinette, pipette, piquette, poquette, preset, prevette, privette, pruette, quartet, quellette, quintet, racette, regret, reset, revette, rillette, ringuette, rivette, rochette, rockette, rolette, rollet, rosette, roulette, rowlette, sarchet, sarette, sextet, stinnette, surette, surrette, susette, suzette, tibet, touchet, touchette, tourette, trivette, umphlett, unmet, unset, upset, vallette, vedette, veillette, vermette, verrette, viet, vignette, villette, wernette, willette, wilmette, wynette, yevette, yvette","anisette, antoinette, baronet, bernadette, calumet, cigarette, clarinet, coronet, cullinet, dancanet, deseret, falconet, flageolet, galudet, henriette, intermet, juliette, kitchenette, lafayette, lafeyette, larroquette, luncheonette, mariette, minaret, minuet, nicolet, nicolette, olivette, pinochet, pirouette, silhouette, sobriquet, statuette, suffragette, tagamet, violett, violette, viverette, willamette","cabriolet, laviolette
",,,,,,,1
59,abbey,,"abbe, abbey, abbie, abby, abie, cabbie, cabby, crabby, flabby, gabby, gabie, gaby, kabi, mabee, mabie, shabby, tabby","arabie, mcabee
",,,,,,,,1
60,abbey's,,"abbey's, abbeys, cabbies
",,,,,,,,,1
61,abbeys,,"abbey's, abbeys, cabbies
",,,,,,,,,1
62,abbie,,"abbe, abbey, abbie, abby, abie, cabbie, cabby, crabby, flabby, gabby, gabie, gaby, kabi, mabee, mabie, shabby, tabby","arabie, mcabee
",,,,,,,,1
63,abbitt,,"abbitt, abbot, abbott, cabot, habit, kabat","cohabit, inhabit
",,,,,,,,1
64,abbot,,"abbitt, abbot, abbott, cabot, habit, kabat","cohabit, inhabit
",,,,,,,,1
65,abbots,,"abbots, abbott's, babbitt's, babbitts, cabot's, habits","inhabits
",,,,,,,,1
66,abbott,,"abbitt, abbot, abbott, cabot, habit, kabat","cohabit, inhabit
",,,,,,,,1
67,abbott's,,,,,,,,,,,1
68,abboud,"booed, brewed, brood, chewed, clued, crewed, crude, cude, cued, dude, feud, food, glued, gude, hewed, hued, jude, lewd, mewed, mood, nude, plude, poohed, prude, queued, rhude, rood, roode, rude, ruud, screwed, shoed, shooed, shrewd, skewed, sood, spewed, stewed, stude, sued, trude, trued, ude, viewed, who'd, wooed, you'd, bowed, browed, cloud, cowed, crowd, daoud, doud, dowd, goude, houde, how'd, loud, ploughed, plowed, proud, shroud, sowed, stroud, vowed, wowed","abboud, abood, aboud, accrued, allude, canoed, collude, conclude, construed, debuted, delude, denude, elude, endued, ensued, eschewed, exclude, extrude, exude, imbued, include, intrude, likud, mahmood, mahmoud, mahmud, maksoud, masood, masoud, nonfood, obtrude, preclude, protrude, pursued, renewed, reviewed, seclude, shampooed, subdued, tattooed, unglued, abboud, allowed, aloud, avowed, endowed, enshroud, macleod, mccloud, mcleod, mcloud, unbowed","misconstrued, disallowed, disavowed
",,,,,,,,1
69,abbreviate,,,deviate,"abbreviate, alleviate
",,,,,,,1
70,abbreviated,,,,deviated,"abbreviated, alleviated
",,,,,,1
71,abbreviating,,,,,"abbreviating, alleviating
",,,,,,1
72,abbreviation,,"haitian, haitien, mation, nation, ration, station","alsatian, carnation, castration, causation, cessation, cetacean, citation, creation, cremation, croatian, crustacean, dalmatian, damnation, deflation, dictation, dilation, donation, duration, elation, filtration, fixation, flirtation, flotation, formation, foundation, frustration, gestation, gradation, gyration, horatian, hydration, inflation, lactation, libration, ligation, location, migration, mutation, narration, negation, nitration, notation, optation, oration, ovation, plantation, privation, probation, proration, prostration, quotation, reflation, relation, rotation, salvation, sarmatian, sedation, sensation, stagflation, stagnation, starvation, summation, taxation, temptation, translation, vacation, vaxstation, vibration, vocation","abdication, aberration, abrogation, acclimation, accusation, activation, adaptation, admiration, adoration, adulation, advocation, affectation, affirmation, affrication, aggravation, agitation, allegation, allocation, alteration, altercation, amputation, animation, annexation, annotation, appalachian, appellation, application, approbation, arbitration, aspiration, assocation, augmentation, automation, aviacion, aviation, avocation, backwardation, bifurcation, calculation, calibration, cancellation, celebration, cogitation, coloration, combination, commendation, compensation, compilation, complication, computation, concentration, condemnation, condensation, confirmation, confiscation, conflagration, confrontation, congregation, conjugation, connotation, consecration, conservation, consolation, constellation, consternation, constipation, consultation, consummation, contemplation, conversation, convocation, coronation, corp, corp., corporation, correlation, culmination, cultivation, d'aviation, declaration, decoration, dedication, defamation, deformation, degradation, dehydration, delegation, demarcation, demonstration, deportation, depravation, depredation, deprivation, derivation, desecration, desiccation, designation, desolation, desperation, destination, detonation, devastation, deviation, dilatation, disinflation, dislocation, dispensation, disputation, dissertation, dissipation, distillation, divination, domination, duplication, education, elevation, elongation, emanation, embarkation, emigration, emulation, equitation, escalation, estimation, evocation, excavation, excitation, exclamation, exhalation, exhortation, exhumation, expectation, expiration, explanation, explication, exploitation, exploration, fabrication, fascination, federation, fermentation, fibrillation, figuration, fluctuation, fluoridation, foliation, formulation, fragmentation, fumigation, gastrulation, generation, germination, glaciation, graduation, granulation, gravitation, habitation, hesitation, hibernation, illustration, imitation, immigration, implantation, implication, importation, impregnation, imputation, incantation, incarnation, inclination, incrustation, incubation, indentation, indexation, indication, indignation, infestation, infiltration, inflammation, information, inhalation, innovation, inspiration, installation, instigation, insulation, integration, intimation, intonation, inundation, invitation, invocation, irrigation, irritation, isolation, jubilation, laceration, legislation, levitation, liberation, limitation, liquidation, litigation, lubrication, machination, malformation, masturbation, maturation, mediation, medication, meditation, menstruation, ministration, miscreation, miseration, mitigation, moderation, modulation, molestation, motivation, mutilation, navigation, nomination, nucleation, obfuscation, obligation, observation, occupation, operation, orchestration, ordination, oscillation, ostentation, ovulation, oxidation, pagination, palpitation, penetration, perforation, permutation, perspiration, perturbation, pigmentation, pollination, population, preparation, presentation, preservation, proclamation, procreation, profanation, propagation, protestation, provocation, publication, punctuation, radiation, realization, recantation, recitation, reclamation, recreation, reformation, refutation, registration, regulation, rehydration, relaxation, relocation, renovation, reparation, replication, reputation, reservation, resignation, respiration, restoration, retardation, revelation, revocation, rumination, sanitation, saturation, segmentation, segregation, separation, sequestration, simulation, situation, speculation, stimulation, stipulation, strangulation, subluxation, suffocation, superstation, syndication, tabulation, termination, titillation, toleration, transformation, transplantation, transportation, trepidation, tribulation, unimation, univation, usurpation, vaccination, vacillation, validation, valuation, variation, vegetation, ventilation, vindication, violation, visitation","abbreviation, abomination, acceleration, accommodation, accreditation, accumulation, adjudication, administration, affiliation, agglomeration, alienation, alleviation, amalgamation, amelioration, amortization, amplification, annihilation, anticipation, appreciation, appropriation, approximation, argumentation, articulation, assassination, assimilation, association, authentication, authorization, balkanization, capitulation, centralization, certification, christianization, civilization, clarification, classification, coagulation, codification, cogeneration, cohabitation, collaboration, colonization, colorization, commemoration, communication, communization, concatenation, conciliation, confabulation, confederation, configuration, conglomeration, congratulation, consideration, consolidation, contamination, continuation, cooperation, coordination, corroboration, decaffeination, decapitation, deceleration, deforestation, degeneration, deification, deliberation, delineation, demodulation, demonization, denomination, denunciation, depopulation, depreciation, deregulation, desalination, desegregation, determination, detoxication, devaluation, discoloration, discrimination, disembarkation, disinclination, disinformation, disintegration, dissemination, dissociation, documentation, domestication, dramatization, echolocation, edification, ejaculation, elaboration, elimination, emancipation, enumeration, equalization, equivocation, eradication, evacuation, evaluation, evaporation, exacerbation, exaggeration, examination, exasperation, exfoliation, exhilaration, exoneration, expatriation, expropriation, extermination, extrapolation, facilitation, falsification, fertilization, finlandization, fortification, gasification, genetization, gentrification, globalization, glorification, gratification, hallucination, harmonization, humiliation, hybridization, hydrogenation, hyperinflation, illumination, imagination, immunization, impersonation, implementation, improvisation, inactivation, inauguration, incarceration, incorporation, incrimination, indoctrination, infatuation, inhabitation, initiation, inoculation, insemination, insinuation, instrumentation, interpretation, interrogation, intimidation, intoxication, invalidation, investigation, ionization, irradiation, islamization, justification, legalization, liberalization, localization, magnetization, magnification, manifestation, manipulation, maximization, mechanization, misallocation, misapplication, miscalculation, misinformation, mobilization, modernization, modification, multiplication, mummification, negotiation, neutralization, normalization, notification, nullification, optimization, organisation, organization, orientation, origination, ornamentation, ossification, pacification, panelization, participation, pasteurization, perpetuation, polarization, pontification, precipitation, predestination, prefabrication, premeditation, preoccupation, pressurization, privatisation, privatization, procrastination, prognostication, proliferation, pronunciation, purification, qualification, quantification, ramification, ratification, reaffirmation, reallocation, recalculation, recommendation, reconfirmation, recrimination, rectification, recuperation, redecoration, rededication, reforestation, refrigeration, regeneration, regimentation, reincarnation, reiteration, rejuvenation, remediation, remuneration, renomination, renunciation, repatriation, representation, repudiation, reregulation, resuscitation, retaliation, revaluation, reverberation, russification, sanctification, sedimentation, simplification, socialization, solicitation, sophistication, specialization, specification, stabilization, stalinization, standardization, sterilization, subordination, subsidization, substantiation, tabloidization, triangulation, unification, unionization, urbanization, utilization, vaporization, verification, victimization, vilification, visualization, vulgarization, westernization","acidification, alphabetization, cannibalization, capitalization, categorization, characterization, collectivization, commercialization, computerization, criminalization, decentralization, decertification, decontamination, dehumanization, demobilization, democratization, demoralization, desalinization, destabilization, detoxification, differentiation, discontinuation, disorganization, disorientation, disqualification, diversification, electrification, excommunication, experimentation, generalization, hospitalization, identification, incapacitation, incoordination, indemnification, insubordination, intensification, intercorporation, marginalization, mineralization, misappropriation, miscommunication, misinterpretation, misrepresentation, monopolization, nationalization, naturalization, nondiscrimination, nonproliferation, overpopulation, overregulation, overvaluation, personalization, personification, politicization, popularization, radicalization, rationalization, reaffiliation, reauthorization, recertification, reclassification, reconciliation, reconfiguration, reconsideration, reevaluation, reexamination, rehabilitation, reincorporation, reinterpretation, reinvigoration, renegotiation, reorganization, reunification, revitalization, saponification, securitization, self-congratulation, self-determination, self-perpetuation, singularization, suburbanization, transillumination, undervaluation","americanization, antidiscrimination, decriminalization, demilitarization, denationalization, denuclearization, industrialization, miniaturization, mischaracterization, misidentification, recapitalization, renationalization, telecommunication","institutionalization, internationalization","deinstitutionalization
",,1
73,abbreviations,,"haitians, haitiens, nation's, nations, nations', patients, station's, stations, stations'","carnations, castrations, citations, creations, croatian's, croatians, croatians', crustaceans, dalmatians, donations, durations, flirtations, formations, foundation's, foundations, frustrations, gradations, gyrations, impatiens, inflation's, locations, migrations, mutations, notations, orations, ovations, plantations, privations, quotations, relations, rotations, sensations, summations, temptations, translations, vacations, vibrations, vocations","aberrations, accusations, adaptations, affirmations, allegations, allocations, alterations, altercations, amputations, animations, annotations, appalachians, appellations, applications, arbitrations, aspirations, aviation's, calculations, cancellations, celebrations, circulations, combinations, compensations, compilations, complications, computations, concentrations, condemnations, confirmations, confrontations, congregation's, congregations, conjugations, connotations, consecrations, consolations, constellation's, constellations, consultations, conversations, corp's, corp.'s, corporation's, corporations, corporations', correlations, declarations, decorations, degradations, delegation's, delegations, demarcations, demonstrations, deportations, depredations, deprivations, desecrations, designations, destinations, detonations, deviations, dislocations, duplications, education's, educations, elevations, emanations, emigrations, estimations, excavations, exclamations, exhortations, expectations, expirations, explanations, exploration's, explorations, fabrications, federation's, federations, fluctuations, formulations, generation's, generations, graduations, hesitations, illustrations, imitations, implications, incarnations, inclinations, indications, infestations, information's, informations, innovations, inspirations, installations, integrations, intimations, inundations, invitations, irritations, lacerations, legislation's, limitations, liquidations, litigations, machinations, malformations, medications, meditations, ministrations, miscreations, motivations, mutilations, nominations, obligations, observations, occupations, operation's, operations, operations' orchestrations, oscillations, palpitations, perforations, permutations, perturbations, populations, preparations, presentations, proclamations, protestations, provocations, publication's, publications, publications' radiation's, realizations, recitations, registrations, regulations, relocations, reparations, reputations, reservations, resignations, restorations, revelations, revocations, ruminations, separations, simulations, situation's, situations, speculations, stipulations, strangulations, subluxations, syndications, tabulations, terminations, transformations, transportation's, tribulations, vaccinations, valuations, variations, violations, visitations","abbreviations, accommodations, accreditations, accumulations, administration's, administrations, affiliations, amplifications, anticipations, appropriations, approximations, assassinations, association's, associations, authentications, authorizations, certifications, civilizations, clarifications, classifications, collaborations, commemorations, communication's, communications, communications', configurations, congratulations, considerations, consolidations, cooperations, decapitations, deliberations, denomination's, denominations, denunciations, depreciations, determination's, determinations, devaluations, discolorations, dramatizations, eliminations, evacuations, evaluations, exacerbations, exaggerations, examinations, expropriations, fortifications, hallucinations, humiliations, imaginations, immunizations, improvisations, inaugurations, incorporation's, incorporations, inoculations, insinuations, interpretations, interrogations, investigations, justifications, magnifications, manifestations, manipulations, miscalculations, mobilizations, modifications, negotiations, notifications, organization's, organizations, orientations, originations, participations, pontifications, preoccupations, privatizations, prognostications, pronunciations, qualifications, ramifications, recommendations, recriminations, representations, reverberations, solicitations, specifications, sterilizations","capitalizations, characterizations, diversifications, generalizations, hospitalizations, identifications, liberalizations, misrepresentations, nationalizations, rationalizations, reconciliations, rehabilitations, renegotiations, reorganizations, revaluations","denationalizations, recapitalizations, telecommunications, telecommunications'
",,,,1
74,abbruzzese,,"basie, blasi, crazy, daisy, dazey, hazy, lazy, maisie, mazie, swayze","annese, bruzzese, cassese, colaizzi, cortese, danese, farese, francese, franzese, lanese, leccese, lucchese, palese, pavese, scalese, scorsese","abbruzzese, abruzzese, albanese, bolognese, buthelezi, butulesi, calabrese, catanese, chianese, cicalese, matarese, pugliese, ragonese, savarese","coglianese
",,,,,,1
75,abbs,"abbs, abs, babbs, babs, blabs, cab's, cabs, crabbs, crabs, dabbs, drabs, grabs, habs, jabs, lab's, labs, labs', sab's, scabs, slabs, stabs, tabs","prefabs
",,,,,,,,,1
76,abby,,"abbe, abbey, abbie, abby, abie, cabbie, cabby, crabby, flabby, gabby, gabie, gaby, kabi, mabee, mabie, shabby, tabby","arabie, mcabee
",,,,,,,,1
